ID,Name of Business,Short Description,Address,City,State,Postcode,Phone Number,Which type of business is this?,Business Website or Other URL,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1,"C to C Tile, inc",Tile Designs and Solutions,48 west 21st st,New York,NY,10024,(347) 820-2113,Retail,http://www.ctoctile.com,MANHATTAN,40.740915,-73.992083,5,3,54,1015510,1008220067,Hudson Yards-Chelsea-Flatiron-Union Square                                 
2,Con Artist Collective,Art Gallery and Collective,119 Ludlow st.,New York,NY,10002,(646) 504-2323,Retail,http://conartistnyc.com,MANHATTAN,40.719585,-73.988618,3,1,18,1005315,1004100021,Chinatown                                                                  
3,Coffee Project New York,Coffee Shop,239 E 5th Street,New York,NY,10003,(212) 228-7888,Food and Beverage,http://www.coffeeprojectny.com,MANHATTAN,40.727345,-73.990305,3,2,38,1006629,1004610035,East Village                                                               
4,Golden Bridge Yoga,"Kundalini Yoga Studio and Holistic Store with Clothes, Books and More",253 Centre Street,New York,NY,10013,(212) 343-8191,Service,http://www.goldenbridgeyoga.com,MANHATTAN,40.720478,-73.997962,2,1,45,1007004,1004720015,SoHo-TriBeCa-Civic Center-Little Italy                                     
5,Three Guys from Brooklyn,Grocery store featuring Fresh Fruit and Vegetables,6502 Fort Hamilton Pkwy,Brooklyn,NY,11219,(718) 748-8340,Retail,http://www.3guysfrombrooklyn.com,BROOKLYN ,40.630553,-74.00936,10,38,120,3328767,3057500019,Sunset Park East                                                           
6,NYC iRepair,iPhone Repair Shop,147 West 35th St Suite 1206,New York,NY,10001,(212) 777-6955,Service,http://www.nycirepair.com,MANHATTAN,40.751123,-73.988844,5,3,109,1015224,1008110010,Midtown-Midtown South                                                      
7,Macaron Parlour - Columbus,Bakery,560 Columbus Ave.,New York,NY,10024,(212) 799-9169,Food and Beverage,http://www.macaronparlour.com,MANHATTAN,40.787312,-73.971587,7,6,173,1032246,1012187501,Upper West Side                                                            
8,Meow Parlour,Cat Cafe,46 Hester Street,New York,NY,10002,(212) 387-9169,Other,http://www.meowparlour.com,MANHATTAN,40.71568,-73.990203,3,1,16,1003810,1002970015,Chinatown                                                                  
9,Macaron Parlour - Hester,Bakery,44 Hester Street,New York,NY,10002,(212) 387-9169,Food and Beverage,http://www.macaronparlour.com,MANHATTAN,40.715655,-73.990123,3,1,16,1003811,1002970016,Chinatown                                                                  
10,Mystery Room NYC,Escape Room,190 Mercer Street,New York,NY,10012,(302) 401-1373,Service,http://www.mysteryroomnyc.com,MANHATTAN,40.7263,-73.997175,2,1,5501,1008239,1005230047,West Village                                                               
11,Pizza boy ii,Pizza place,58-19 woodside Avenue,Woodside,NY,11377,(718) 426-5023,Food and Beverage,https://www.pizzaboyny.com/,QUEENS   ,40.745604,-73.90628,2,26,259,4028286,4012290001,Woodside                                                                   
12,Charmar Superette,Corner Store,85 Stuyvesant Place,Staten Island,NY,10301,(718) 981-4638,Food and Beverage,,STATEN IS,40.643865,-74.077592,1,49,3,5000068,5000070063,West New Brighton-New Brighton-St. George                                  
13,Caribbean sunshine restaurant and cuisine,Jamaican restaurant,1111 East Tremont Avenue,Bronx,NY,10460,(929) 777-9184,Food and Beverage,http://caribbean-sunshine-resturant.business.site/,BRONX    ,40.839968,-73.876924,6,15,220,2098842,2040040011,East Tremont                                                               
14,Smile-Savers Orthodontistry,Orthodontist,2100 Bartow Avenue,Bronx,NY,10475,(718) 708-6323,Service,http://WWW.SMILESAVERSORTHO.COM,BRONX    ,40.869429,-73.825737,10,12,46201,2103850,2051410810,Co-op City                                                                 
15,Dental Smiles Unlimited,Dentist,2100 Bartow Avenue,Bronx,NY,10475,,Service,http://WWW.DENTALSMILESUNLIMITED.COM,BRONX    ,40.869429,-73.825737,10,12,46201,2103850,2051410810,Co-op City                                                                 
16,Smile Savers Pediatric Dentistry,Kids' dental specialist in the Bronx,2100 Bartow Avenue,Bronx,NY,10475,(718) 708-6755,Service,http://WWW.SmileSaversKids.com,BRONX    ,40.869429,-73.825737,10,12,46201,2103850,2051410810,Co-op City                                                                 
17,Martinez Consulting Services,Professional Services,4089 Amundson Avenue,Bronx,NY,10466,(347) 947-0084,Service,http://www.martinezconsultingservices.com,BRONX    ,40.893525,-73.837237,12,12,426,2067920,2049880044,Woodlawn-Wakefield                                                         
18,20/20 Deli,Deli/Grocery Store,1120 Southern Boulevard,Bronx,NY,10459,,Food and Beverage,,BRONX    ,40.827058,-73.891896,3,17,125,2006049,2027450001,Morrisania-Melrose                                                         
19,Dr.Sofa,"""Specialize in furniture services such as reupholsterly, repair and assembly""",220 East 134th Street,Bronx,NY,10451,(718) 292-6300,Service,http://www.drsofa.com,BRONX    ,40.809255,-73.93065,1,8,51,2000783,2023190098,Mott Haven-Port Morris                                                     
20,Plowshares Coffee,Coffee Shop,2730 Broadway,New York,NY,10025,(212) 222-0280,Food and Beverage,https://www.plowsharescoffee.com/,MANHATTAN,40.800195,-73.96806,7,7,191,1056600,1018760046,Upper West Side                                                            
21,Havana Cafe,"""Restaurant with great Latin food""",1247  Castle Hill Avenue,Bronx,NY,10467,,Food and Beverage,http://www.bronxhavanacafe.com/,BRONX    ,40.833081,-73.851323,9,18,92,2026570,2038130042,Westchester-Unionport                                                      
22,Light Touch Laser Spa,"""Light Touch is one the best laser hair removal spas in NYC""",1133 Broadway,New York,NY,10010,(646) 926-7202,Service,https://www.lighttouchnyc.com,MANHATTAN,40.743523,-73.989073,5,3,58,1015625,1008270049,Hudson Yards-Chelsea-Flatiron-Union Square                                 
23,E. Rossi Company,"""Little Italy gift shop in business for 107 years""",193 Grand Street,New York,NY,10013,212-226-9254,Retail,http://www.erossico.com/#,MANHATTAN,40.719243,-73.997085,2,1,41,1077451,1002370012,SoHo-TriBeCa-Civic Center-Little Italy                                     
24,Nieves Tia Mimi,Ice cream shop,89-14 Roosevelt Avenue,Jackson Heights,NY,11372,(917) 257-9930,Food and Beverage,http://nievestiamimi.com,QUEENS   ,40.748319,-73.877339,4,21,271,4037319,4015100008,Elmhurst                                                                   
25,Chang Noi Thai,Thai restaurant,100 Stuyvesant Place,Staten Island,NY,10301,(718) 442-8424,Food and Beverage,https://www.facebook.com/changnoithaisi/,STATEN IS,40.643596,-74.077412,1,49,3,5000083,5000080046,West New Brighton-New Brighton-St. George                                  
26,Studio 360 Architecture/Interior Design,"""Boutique architecture firm specializing in renovation and interior design""",2500 Johnson Avenue,Riverdale,NY,10463,(877) 891-7365,Service,http://www.studio360s.com,BRONX    ,40.877162,-73.917861,8,11,29302,2083245,2057160500,Spuyten Duyvil-Kingsbridge                                                 
27,Cocoa Bar,Cafe and Wine Bar,21 Clinton Street,New York,NY,10002,(212) 677-7417,Food and Beverage,http://www.cocoabarnyc.com,MANHATTAN,40.720683,-73.984253,3,2,3001,1088336,1003500026,Chinatown                                                                  
28,ISE Office Plus,Office supply & furniture distributor,4422 Bronx Blvd,Bronx,NY,10470,(718) 324-0006,Other,http://www.iseop.com,BRONX    ,40.900348,-73.857369,12,11,414,2097450,2050660008,Woodlawn-Wakefield                                                         
